uri,creation_timestamp,title,top_creation_timestamp,top_title,dubbing_info,media_variants,product_tags,media_metadata.camera_metadata.has_camera_metadata,cross_post_source.source_app,creation_date,creation_month,top_creation_date,likes,comments,reach,impressions,saves,shares,profile_visits,follows,followers_count,engagement,engagement_rate,hour,weekday,like_rate,comment_rate,save_rate,performance_label
media/posts/202405/17852267094199842.jpg,2024-05-30 12:00:45+07:00,,2024-05-30 12:00:45+07:00,Anchors of composition.,,,,False,FB,2024-05-30,2024-05,2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,12,Thursday,,,,Quantile 0.25
media/posts/202405/18015598892123677.jpg,2024-05-30 12:00:45+07:00,,2024-05-30 12:00:45+07:00,Anchors of composition.,,,,False,FB,2024-05-30,2024-05,2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,12,Thursday,,,,Quantile 0.25
media/posts/202405/18041201578882004.jpg,2024-05-30 11:00:47+07:00,,2024-05-30 11:00:47+07:00,Chosen weapons.,,,,False,FB,2024-05-30,2024-05,2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,11,Thursday,,,,Quantile 0.25
media/posts/202405/18037331926930076.jpg,2024-05-30 11:00:47+07:00,,2024-05-30 11:00:47+07:00,Chosen weapons.,,,,False,FB,2024-05-30,2024-05,2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,11,Thursday,,,,Quantile 0.25
media/posts/202405/17847340272203170.jpg,2024-05-29 17:00:53+07:00,,2024-05-29 17:00:53+07:00,Natural selection.,,,,False,FB,2024-05-29,2024-05,2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,17,Wednesday,,,,Quantile 0.25
media/posts/202405/18024476962977587.jpg,2024-05-29 17:00:53+07:00,,2024-05-29 17:00:53+07:00,Natural selection.,,,,False,FB,2024-05-29,2024-05,2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,17,Wednesday,,,,Quantile 0.25
media/other/18037142605749234.jpg,2024-05-27 08:00:47+07:00,Silver trees of life.,,,,,,False,FB,2024-05-27,2024-05,,65.0,2.0,953.0,1091.0,1.0,0.0,17.0,0.0,1000,67.0,0.067,8,Monday,0.06820566631689402,0.002098635886673662,0.001049317943336831,Quantile 0.75
media/other/18048633694666140.jpg,2024-05-25 14:00:43+07:00,99 out of a 100 donât make it.,,,,,,False,FB,2024-05-25,2024-05,,381.0,22.0,25455.0,42099.0,45.0,6.0,277.0,20.0,1000,403.0,0.403,14,Saturday,0.014967589864466706,0.0008642702808878413,0.0017678255745433118,Quantile 0.75
media/posts/202405/18030231509065131.jpg,2024-05-24 11:00:53+07:00,,2024-05-24 11:00:53+07:00,Green - early Klimt.,,,,False,FB,2024-05-24,2024-05,2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,11,Friday,,,,Quantile 0.25
media/posts/202405/17886014087980223.jpg,2024-05-24 11:00:53+07:00,,2024-05-24 11:00:53+07:00,Green - early Klimt.,,,,False,FB,2024-05-24,2024-05,2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,11,Friday,,,,Quantile 0.25
media/posts/202405/18049856239635343.jpg,2024-05-12 22:01:11+07:00,,2024-05-12 22:01:11+07:00,Cynthia,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Sunday,,,,Quantile 0.25
media/posts/202405/17881841850058550.jpg,2024-05-12 22:01:11+07:00,,2024-05-12 22:01:11+07:00,Cynthia,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Sunday,,,,Quantile 0.25
media/posts/202405/18029761150864127.jpg,2024-05-12 22:01:11+07:00,,2024-05-12 22:01:11+07:00,Cynthia,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Sunday,,,,Quantile 0.25
media/posts/202405/18055129342528097.jpg,2024-05-12 22:01:11+07:00,,2024-05-12 22:01:11+07:00,Cynthia,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Sunday,,,,Quantile 0.25
media/posts/202405/18040022950883081.jpg,2024-05-12 22:01:11+07:00,,2024-05-12 22:01:11+07:00,Cynthia,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,22,Sunday,,,,Quantile 0.25
media/posts/202405/18044088418696947.jpg,2024-05-12 20:01:01+07:00,,2024-05-12 20:01:01+07:00,Elora,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Sunday,,,,Quantile 0.25
media/posts/202405/18226549816274346.jpg,2024-05-12 20:01:01+07:00,,2024-05-12 20:01:01+07:00,Elora,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Sunday,,,,Quantile 0.25
media/posts/202405/18045458728704605.jpg,2024-05-12 20:01:01+07:00,,2024-05-12 20:01:01+07:00,Elora,,,,False,FB,2024-05-12,2024-05,2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,,1000,0.0,0.0,20,Sunday,,,,Quantile 0.25
