dominant_hex_1,dominant_hex_2,dominant_hex_3,dominant_pct_1,dominant_pct_2,dominant_pct_3,avg_hue01,avg_saturation,avg_value,std_value,colorfulness,warm_ratio,uri,engagement,engagement_rate,log_engagement_rate,performance_label_log
#2C1310,#D2BD9D,#B5916E,0.3622,0.213,0.1584,0.11002485265891268,0.4839843738872305,0.47088,0.2730481890915354,65.59257199539037,0.9982,media/other/18046652818977170.jpg,82.0,0.082,0.07881118042428978,High
#88573A,#C09475,#A67554,0.3664,0.2572,0.1856,0.06640260230436264,0.46752197483012276,0.6386596078431372,0.13695575763846804,39.11498189518968,0.9986,media/other/17879912841151336.jpg,47.0,0.047,0.045928931888399804,Medium
#BABFC2,#C8AD5F,#AE7C33,0.4576,0.2934,0.1258,0.32236721992708905,0.3177600732866409,0.7434447058823529,0.12395665012490611,45.343852434104974,0.5234,media/other/18092660728468253.jpg,62.0,0.062,0.06015392281974709,Medium
#7D5040,#94634A,#613C32,0.3818,0.2858,0.1824,0.0930359300475988,0.45907312729968724,0.47904784313725485,0.1243682003586057,28.385477161923557,0.9772,media/other/17872236108122426.jpg,55.0,0.055,0.05354076692802982,Medium
#804C26,#603110,#A26F42,0.2698,0.2068,0.2068,0.07649673259150905,0.6248717738140367,0.6095278431372548,0.18385927469828595,45.83745226749826,1.0,media/other/18044375267064291.jpg,39.0,0.039,0.038258712117090345,Low
#46362B,#6C4E42,#161B14,0.432,0.3342,0.1194,0.08734155472485527,0.3808116718130612,0.3475725490196078,0.1508968670922955,31.76202986554262,0.9012,media/other/18042295397293158.jpg,95.0,0.095,0.09075436326846414,High
#484433,#66614C,#8F8871,0.3112,0.2618,0.2402,0.18004372483053863,0.24555571831331235,0.40718039215686275,0.1898245993841001,47.52929024696399,0.8014,media/other/18255018175269913.jpg,31.0,0.031,0.03052920503482287,Low
#020304,#38240E,#624322,0.6784,0.1304,0.1276,0.4247476787764366,0.6392622991652629,0.13453960784313723,0.19197041704045215,37.08121937624031,0.3344,media/other/18464493598028309.jpg,74.0,0.074,0.07138999608667293,Medium
#CCB180,#D8CEBC,#050605,0.2572,0.2424,0.2416,0.19070976288466376,0.4217919326441608,0.6048588235294117,0.33783514788045127,78.82761686768859,0.7396,media/other/17880943938075611.jpg,66.0,0.066,0.0639133257436528,Medium
#C48F59,#D7B187,#6B6E77,0.2668,0.241,0.2374,0.24903398836456417,0.36149226093182285,0.5910399999999999,0.25864004455684353,53.91192535099967,0.6444,media/other/17842060824328565.jpg,38.0,0.038,0.037295784743696894,Low
#9F7A62,#BCA98D,#6F584A,0.31,0.2274,0.186,0.10017261899063504,0.30741199432935107,0.5977811764705883,0.19481053879679502,50.65139819815615,0.867,media/other/18325896031158026.jpg,36.0,0.036,0.03536714383729131,Low
#BFCCD8,#87624E,#999885,0.5338,0.1688,0.1638,0.36007766077397746,0.23033605752445688,0.6941780392156863,0.19059255876803538,54.58603963931517,0.3654,media/other/18461594848038915.jpg,47.0,0.047,0.045928931888399804,Medium
#D9DAD4,#985D37,#BB804A,0.5022,0.1684,0.1678,0.1434800951476803,0.31392379088148525,0.737275294117647,0.18717654753082555,63.60482963500899,0.554,media/other/17856666741266562.jpg,164.0,0.164,0.1518623493092461,High
#956750,#AF816B,#734B36,0.3562,0.3006,0.2066,0.06130619599801215,0.4462749007902852,0.5562470588235293,0.1568343675802176,35.00676967502603,0.9846,media/other/18022755476417665.jpg,98.0,0.098,0.0934903430873389,High
#010404,#1D1208,#47271B,0.4276,0.3338,0.1758,0.25237696377710833,0.7640770245952035,0.13172392156862744,0.14917036604486578,29.770534548266653,0.5908,media/other/17893252362080781.jpg,66.0,0.066,0.0639133257436528,Medium
#A7A18F,#E1CC99,#BB9D61,0.5296,0.1494,0.112,0.1212172117943993,0.3200580309302058,0.642327843137255,0.17099311874924225,45.48938042259689,0.995,media/other/17882566206103724.jpg,61.0,0.061,0.05921185963184609,Medium
#342C27,#4D4439,#6B6051,0.322,0.2832,0.2062,0.10887591454438698,0.23045721660642562,0.3468321568627451,0.14206252768063488,33.31051915048317,0.9206,media/other/17889103545095709.jpg,307.0,0.307,0.2677344346420849,High
#020304,#362F25,#D0CCC2,0.8514,0.053,0.046,0.5208520979625759,0.6110001450324546,0.09409254901960783,0.2062561521332405,49.72335608413942,0.1256,media/other/17939946362781407.jpg,42.0,0.042,0.04114194333117518,Medium
#4D4335,#594D3E,#41392B,0.318,0.2816,0.205,0.09658245211504123,0.3158909558453551,0.31253803921568624,0.06485571626093238,14.816363950466618,0.998,media/other/17858751108250899.jpg,41.0,0.041,0.04018178963283184,Low
#5F3C2D,#3B2216,#855C49,0.3786,0.224,0.1972,0.07664902032544611,0.49262552982320795,0.45323921568627445,0.19804913289088447,47.572199545676675,0.987,media/other/17916606746985850.jpg,59.0,0.059,0.05732506661926941,Medium
#8A6D5A,#9C867B,#6A503C,0.3878,0.3348,0.188,0.08349181221545848,0.33035431914000535,0.5235882352941177,0.12683113070942761,33.38433203128222,0.9522,media/other/17989106804555889.jpg,59.0,0.059,0.05732506661926941,Medium
#EDE6DC,#130B07,#583E2C,0.4172,0.2444,0.1378,0.10125532038908393,0.287792772818698,0.6014580392156862,0.3599411880013713,92.43812189976116,0.9548,media/other/18062807653640533.jpg,43.0,0.043,0.042101176018635396,Medium
#212121,#909090,#6D6D6D,0.4886,0.1496,0.147,0.0,0.0,0.30958823529411766,0.20437921403500298,52.1166995789257,1.0,media/other/18326422351145349.jpg,82.0,0.082,0.07881118042428978,High
